train_loss,epoch,step,val_loss
4683.513671875,0,49,
3652.996826171875,0,99,
2863.93115234375,0,149,
2223.30810546875,0,199,
1709.7623291015625,0,249,
1301.7510986328125,0,299,
980.1266479492188,0,349,
729.2218627929688,0,399,
535.9847412109375,0,449,
388.29931640625,0,499,
277.6842956542969,0,549,
195.7714385986328,0,599,
136.14382934570312,0,649,
,0,652,132.5431365966797
93.44811248779297,1,699,
63.829307556152344,1,749,
42.2380485534668,1,799,
27.87586212158203,1,849,
18.228046417236328,1,899,
11.882040023803711,1,949,
7.645321846008301,1,999,
4.869747161865234,1,1049,
3.149661064147949,1,1099,
2.0634117126464844,1,1149,
8.753793716430664,1,1199,
0.998577892780304,1,1249,
0.7450581192970276,1,1299,
,1,1305,1.0679776668548584
0.571108877658844,2,1349,
0.5147376656532288,2,1399,
0.4069382846355438,2,1449,
0.40600383281707764,2,1499,
0.3838788866996765,2,1549,
0.3039131164550781,2,1599,
0.3704107105731964,2,1649,
0.2795441746711731,2,1699,
0.306570827960968,2,1749,
0.2803080081939697,2,1799,
0.3684835433959961,2,1849,
0.2739976942539215,2,1899,
0.2574799656867981,2,1949,
,2,1958,0.6293167471885681
26.523456573486328,3,1999,
0.28315478563308716,3,2049,
0.23747612535953522,3,2099,
0.31777793169021606,3,2149,
0.2808324694633484,3,2199,
0.23808781802654266,3,2249,
0.28104355931282043,3,2299,
0.9907976388931274,3,2349,
0.2349797785282135,3,2399,
0.2807847261428833,3,2449,
0.25594615936279297,3,2499,
0.2834751307964325,3,2549,
0.23024865984916687,3,2599,
,3,2611,0.5938155651092529
0.24012281000614166,4,2649,
0.21378350257873535,4,2699,
0.23759523034095764,4,2749,
0.24917298555374146,4,2799,
0.5155256986618042,4,2849,
0.2473772168159485,4,2899,
0.2313210666179657,4,2949,
0.19395245611667633,4,2999,
0.30412185192108154,4,3049,
0.20694872736930847,4,3099,
0.2097659707069397,4,3149,
0.19787007570266724,4,3199,
0.2008911669254303,4,3249,
,4,3264,0.5850709676742554
0.20114830136299133,5,3299,
0.2597525715827942,5,3349,
0.24829278886318207,5,3399,
5.014249801635742,5,3449,
0.2612781524658203,5,3499,
0.23374365270137787,5,3549,
0.3429447114467621,5,3599,
0.19608710706233978,5,3649,
0.2716142535209656,5,3699,
0.22172504663467407,5,3749,
0.24476230144500732,5,3799,
1.0939147472381592,5,3849,
0.5190350413322449,5,3899,
,5,3917,0.582145631313324
0.2600310444831848,6,3949,
0.21848274767398834,6,3999,
0.23292994499206543,6,4049,
0.2739374041557312,6,4099,
0.7327868342399597,6,4149,
0.221236914396286,6,4199,
0.251649409532547,6,4249,
0.20168355107307434,6,4299,
0.25830724835395813,6,4349,
0.23214812576770782,6,4399,
0.20236441493034363,6,4449,
0.21034321188926697,6,4499,
0.3337814509868622,6,4549,
,6,4570,0.5809593200683594
0.23025952279567719,7,4599,
0.24719712138175964,7,4649,
0.219557523727417,7,4699,
0.2141459882259369,7,4749,
0.20340318977832794,7,4799,
0.2802138924598694,7,4849,
0.3392464518547058,7,4899,
0.18716281652450562,7,4949,
0.30123239755630493,7,4999,
0.26981183886528015,7,5049,
0.24241997301578522,7,5099,
0.22061868011951447,7,5149,
0.22821307182312012,7,5199,
,7,5223,0.5804295539855957
56.05015182495117,8,5249,
5.169007778167725,8,5299,
8.005905151367188,8,5349,
0.20336051285266876,8,5399,
0.20763568580150604,8,5449,
0.7765205502510071,8,5499,
0.2872820496559143,8,5549,
0.24539047479629517,8,5599,
0.2072652131319046,8,5649,
0.21386680006980896,8,5699,
0.35371458530426025,8,5749,
0.3190388083457947,8,5799,
0.2270766794681549,8,5849,
,8,5876,0.5801743865013123
0.201119065284729,9,5899,
0.233785480260849,9,5949,
0.22155168652534485,9,5999,
0.24146297574043274,9,6049,
0.855607807636261,9,6099,
0.21097669005393982,9,6149,
0.21526184678077698,9,6199,
0.3110627233982086,9,6249,
0.9630950689315796,9,6299,
0.20659135282039642,9,6349,
0.278129518032074,9,6399,
0.18751324713230133,9,6449,
0.1864297240972519,9,6499,
,9,6529,0.5800507664680481
